Fecha,Muestreo,Hoja,x,y
26/1/2021,M16,38,-83.87792,9.264075
10/8/2020,M3,46,-83.877921,9.26562
12/9/2020,M7,24,-83.877921,9.265459
18/3/2021,M18,25,-83.877921,9.264048
18/3/2021,M18,77,-83.877921,9.264139
4/8/2020,M1,91,-83.877922,9.26373
4/8/2020,M1,136,-83.877922,9.264078
18/9/2020,M10,17,-83.877922,9.265623
29/10/2020,M12,70,-83.877922,9.265093
7/8/2020,M2,19,-83.877923,9.26412
14/9/2020,M8,46,-83.877923,9.263986
21/4/2021,M19,114,-83.877923,9.263503
25/11/2020,M13,31,-83.877925,9.264137
17/9/2021,M20,53,-83.877925,9.264013
4/8/2020,M1,88,-83.877926,9.263568
26/1/2021,M16,57,-83.877926,9.265667
21/4/2021,M19,95,-83.877926,9.263798
7/8/2020,M2,22,-83.877928,9.263861
15/3/2021,M17,29,-83.877928,9.265599
8/9/2020,M6,52,-83.877929,9.264088
11/8/2020,M4,33,-83.87793,9.264071
4/12/2020,M15,32,-83.87793,9.263973
26/1/2021,M16,42,-83.87793,9.263809
16/9/2020,M9,28,-83.877931,9.264043
19/9/2020,M10,63,-83.877932,9.264079
25/11/2020,M13,11,-83.877932,9.265035
12/9/2020,M7,10,-83.877933,9.265061
22/9/2020,M11,31,-83.877934,9.264075
26/1/2021,M16,99,-83.877934,9.263566
4/8/2020,M1,38,-83.877935,9.265113
29/10/2020,M12,64,-83.877935,9.26558
18/9/2020,M10,19,-83.877936,9.265621
22/9/2020,M11,12,-83.877936,9.265052
21/4/2021,M19,93,-83.877936,9.263854
17/9/2021,M20,74,-83.877936,9.264106
26/1/2021,M16,98,-83.877937,9.263561
8/8/2020,M2,114,-83.877938,9.265693
18/9/2020,M10,18,-83.877938,9.265631
7/9/2020,M5,46,-83.877939,9.263548
7/9/2020,M5,48,-83.877939,9.265698
16/9/2020,M9,37,-83.877939,9.263689
8/8/2020,M2,70,-83.87794,9.265097
16/9/2020,M9,29,-83.87794,9.264084
22/9/2020,M11,20,-83.87794,9.265544
17/9/2021,M20,1,-83.87794,9.265641
17/9/2021,M20,37,-83.87794,9.263558
7/9/2020,M5,67,-83.877942,9.265027
12/9/2020,M7,57,-83.877942,9.26414
19/9/2020,M10,66,-83.877942,9.264173
22/9/2020,M11,18,-83.877942,9.265638
28/10/2020,M12,39,-83.877942,9.263973
7/8/2020,M2,44,-83.877943,9.263731
25/11/2020,M13,29,-83.877943,9.264107
21/4/2021,M19,117,-83.877943,9.263718
17/9/2021,M20,40,-83.877943,9.263458
7/9/2020,M5,24,-83.877944,9.264216
18/9/2020,M10,16,-83.877944,9.265574
2/12/2020,M14 ,64,-83.877944,9.265037
12/9/2020,M7,23,-83.877945,9.265571
18/3/2021,M18,33,-83.877945,9.263612
21/4/2021,M19,111,-83.877945,9.263424
7/8/2020,M2,17,-83.877946,9.264086
8/9/2020,M6,53,-83.877946,9.263867
12/9/2020,M7,63,-83.877946,9.263623
29/10/2020,M12,45,-83.877946,9.263651
4/12/2020,M15,40,-83.877946,9.265593
21/4/2021,M19,91,-83.877946,9.263909
11/8/2020,M4,32,-83.877947,9.2641
14/9/2020,M8,12,-83.877947,9.265154
26/1/2021,M16,55,-83.877947,9.265466
21/4/2021,M19,56,-83.877947,9.265174
17/9/2021,M20,13,-83.877947,9.265077
25/11/2020,M13,60,-83.877948,9.26346
21/4/2021,M19,92,-83.877948,9.26396
10/8/2020,M3,34,-83.87795,9.263492
4/12/2020,M15,55,-83.877951,9.265188
4/12/2020,M15,60,-83.877951,9.264925
7/8/2020,M2,18,-83.877952,9.264114
2/12/2020,M14 ,121,-83.877953,9.263549
11/8/2020,M4,61,-83.877954,9.265601
26/1/2021,M16,67,-83.877954,9.265121
16/9/2020,M9,70,-83.877955,9.265613
25/11/2020,M13,3,-83.877955,9.265623
25/11/2020,M13,17,-83.877955,9.264969
4/8/2020,M1,36,-83.877956,9.265093
7/9/2020,M5,40,-83.877956,9.2635
19/9/2020,M10,62,-83.877956,9.264163
4/12/2020,M15,39,-83.877956,9.265616
26/1/2021,M16,68,-83.877956,9.26523
8/9/2020,M6,55,-83.877957,9.263788
2/12/2020,M14 ,51,-83.877957,9.265579
